relays,width,height,nodes,network_config,evaluations,pairs,mean_pso_pdr,mean_naive_pdr,mean_delta_pdr,median_delta_pdr,pso_wins,ties,naive_wins,naive_failed_pairs
2,500.0,500.0,,1,120,12,0.4527776666666667,0.43402766666666664,0.01875,0.009722500000000023,10,1,1,0
2,500.0,500.0,,2,120,12,0.33958341666666664,0.3252315,0.014351916666666664,0.019444499999999976,10,1,1,0
3,500.0,500.0,,1,120,12,0.5775463333333334,0.5622685833333333,0.015277750000000007,0.018054999999999988,9,1,2,0
3,500.0,500.0,,2,120,12,0.42847216666666665,0.42037025,0.008101916666666672,0.011111499999999996,8,2,2,0
4,500.0,500.0,,1,120,12,0.6585649166666667,0.6587964166666667,-0.00023150000000000484,-0.0027774999999999883,5,1,6,0
4,500.0,500.0,,2,120,12,0.5037036666666667,0.50486125,-0.0011575833333333369,-0.001389000000000029,5,1,6,0
6,500.0,500.0,,1,120,12,0.7650461666666667,0.75925925,0.005786916666666651,0.016666999999999987,7,0,5,0
6,500.0,500.0,,2,120,12,0.6131944166666666,0.6305555,-0.017361083333333333,-0.012500000000000011,2,2,8,0
