relays,width,height,nodes,network_config,evaluations,pairs,mean_pso_pdr,mean_naive_pdr,mean_delta_pdr,median_delta_pdr,pso_wins,ties,naive_wins,naive_failed_pairs
2,500.0,500.0,,1,380,12,0.46759266666666666,0.45069441666666665,0.016898249999999993,0.019444000000000017,10,0,2,0
2,500.0,500.0,,2,380,12,0.35810166666666665,0.33518525,0.022916416666666675,0.02222200000000002,11,0,1,0
3,500.0,500.0,,1,380,12,0.6173611666666666,0.5780094166666667,0.03935174999999999,0.03472249999999999,12,0,0,0
3,500.0,500.0,,2,380,12,0.47430558333333334,0.4317128333333333,0.04259275,0.04722299999999999,11,0,1,0
4,500.0,500.0,,1,380,12,0.7085648333333333,0.6870370833333334,0.021527749999999984,0.024999999999999967,10,0,2,0
4,500.0,500.0,,2,380,12,0.54074075,0.5215278333333333,0.019212916666666652,0.024999999999999967,8,1,3,0
6,500.0,500.0,,1,380,12,0.80324075,0.7877315833333334,0.015509166666666657,0.012500000000000011,10,0,2,0
6,500.0,500.0,,2,380,12,0.6553240833333334,0.6469906666666667,0.008333416666666657,0.0013889999999999736,6,1,5,0
