relays,width,height,nodes,network_config,evaluations,pairs,mean_pso_pdr,mean_naive_pdr,mean_delta_pdr,median_delta_pdr,pso_wins,ties,naive_wins,naive_failed_pairs
2,500.0,500.0,,1,200,12,0.4620370833333333,0.4439814166666667,0.018055666666666664,0.02083299999999999,8,0,4,0
2,500.0,500.0,,2,200,12,0.34583325,0.33171316666666667,0.014120083333333339,0.016666000000000014,11,0,1,0
3,500.0,500.0,,1,200,12,0.592361,0.5703705,0.021990500000000007,0.02083299999999999,11,0,1,0
3,500.0,500.0,,2,200,12,0.455324,0.42453683333333336,0.030787166666666657,0.031944500000000015,11,0,1,0
4,500.0,500.0,,1,200,12,0.6925926666666666,0.6768520833333334,0.015740583333333325,0.01527800000000007,9,1,2,0
4,500.0,500.0,,2,200,12,0.51875,0.5150464166666666,0.0037035833333333434,0.0055555000000000465,6,0,6,0
6,500.0,500.0,,1,200,12,0.7898148333333334,0.7756945,0.01412033333333331,0.009722499999999967,8,0,4,0
6,500.0,500.0,,2,200,12,0.6247685833333333,0.6428241666666666,-0.018055583333333347,-0.02083350000000006,2,0,10,0
