area,aspect_ratio,node_density,relay_power,node_power,relay_traffic,node_traffic,propagation,packet_length,interval,simulated_range,node_to_relay_range,relay_pair_distance_0,relay_pair_distance_1,relay_pair_distance_2,relay_sink_distance_0,relay_sink_distance_1,relay_sink_distance_2,cluster_0_population,cluster_0_mean_radius,cluster_0_max_radius,cluster_0_std_radius,cluster_0_sink_relative_distance,cluster_0_relay_distance_0,cluster_0_relay_distance_1,cluster_0_relay_distance_2,cluster_0_centroid_nearest_relay_covered_fraction,cluster_0_any_relay_covered_fraction,cluster_0_mean_nearest_relay_distance_ratio,cluster_1_population,cluster_1_mean_radius,cluster_1_max_radius,cluster_1_std_radius,cluster_1_sink_relative_distance,cluster_1_relay_distance_0,cluster_1_relay_distance_1,cluster_1_relay_distance_2,cluster_1_centroid_nearest_relay_covered_fraction,cluster_1_any_relay_covered_fraction,cluster_1_mean_nearest_relay_distance_ratio,cluster_2_population,cluster_2_mean_radius,cluster_2_max_radius,cluster_2_std_radius,cluster_2_sink_relative_distance,cluster_2_relay_distance_0,cluster_2_relay_distance_1,cluster_2_relay_distance_2,cluster_2_centroid_nearest_relay_covered_fraction,cluster_2_any_relay_covered_fraction,cluster_2_mean_nearest_relay_distance_ratio,cluster_3_population,cluster_3_mean_radius,cluster_3_max_radius,cluster_3_std_radius,cluster_3_sink_relative_distance,cluster_3_relay_distance_0,cluster_3_relay_distance_1,cluster_3_relay_distance_2,cluster_3_centroid_nearest_relay_covered_fraction,cluster_3_any_relay_covered_fraction,cluster_3_mean_nearest_relay_distance_ratio,cluster_4_population,cluster_4_mean_radius,cluster_4_max_radius,cluster_4_std_radius,cluster_4_sink_relative_distance,cluster_4_relay_distance_0,cluster_4_relay_distance_1,cluster_4_relay_distance_2,cluster_4_centroid_nearest_relay_covered_fraction,cluster_4_any_relay_covered_fraction,cluster_4_mean_nearest_relay_distance_ratio,cluster_5_population,cluster_5_mean_radius,cluster_5_max_radius,cluster_5_std_radius,cluster_5_sink_relative_distance,cluster_5_relay_distance_0,cluster_5_relay_distance_1,cluster_5_relay_distance_2,cluster_5_centroid_nearest_relay_covered_fraction,cluster_5_any_relay_covered_fraction,cluster_5_mean_nearest_relay_distance_ratio,cluster_6_population,cluster_6_mean_radius,cluster_6_max_radius,cluster_6_std_radius,cluster_6_sink_relative_distance,cluster_6_relay_distance_0,cluster_6_relay_distance_1,cluster_6_relay_distance_2,cluster_6_centroid_nearest_relay_covered_fraction,cluster_6_any_relay_covered_fraction,cluster_6_mean_nearest_relay_distance_ratio,cluster_7_population,cluster_7_mean_radius,cluster_7_max_radius,cluster_7_std_radius,cluster_7_sink_relative_distance,cluster_7_relay_distance_0,cluster_7_relay_distance_1,cluster_7_relay_distance_2,cluster_7_centroid_nearest_relay_covered_fraction,cluster_7_any_relay_covered_fraction,cluster_7_mean_nearest_relay_distance_ratio,overall_any_relay_covered_fraction,scenario_id,fitness
250000.0,1.0,0.00024,0.00224,0.00224,0.0,0.0,0.0,32.0,5.0,155.0,150.0,0.32676364801631835,0.9373472258456972,1.003734921031767,0.18447813256405213,0.3781097768320729,0.38227357818714075,0.11666666666666667,0.09261601662883664,0.13085144106635327,0.021397373090522417,0.20258199480516853,0.05217039009006836,0.1800152379714757,0.18010655471917936,1.0,1.0,0.4315846716865114,0.11666666666666667,0.05308935784122291,0.089862661840561,0.0253507630982043,0.23295166807182408,0.21634857004775457,0.24293938358990974,0.2895043797580659,0.42857142857142855,0.5714285714285714,0.9938761307206994,0.11666666666666667,0.09625363407906104,0.18199164912474355,0.048008783400626795,0.4729951199857723,0.14305675725483738,0.21093085833855818,0.2889099263004318,0.8571428571428571,0.8571428571428571,0.7752414072968593,0.11666666666666667,0.10866168598124532,0.2126080296093671,0.0703960144066813,0.5227092154610818,0.33072358432356386,0.40228531067713236,0.46522128782999883,0.14285714285714285,0.14285714285714285,1.5613015103067964,0.13333333333333333,0.0863962924741776,0.14205597768320508,0.03811544373918675,0.5747595213061122,0.20882552786484518,0.24918474208813676,0.42836078893539176,0.375,0.375,1.0416468278848294,0.13333333333333333,0.0660805269294763,0.10863478738141964,0.026569251703171953,0.6803430064595404,0.3946757269612692,0.4574041424745804,0.5845170273844263,0.0,0.0,1.871693412126586,0.15,0.09048360394560423,0.15989866240115652,0.03845822254808778,0.6983520897453368,0.31614398171176356,0.33272360291273984,0.5200074765619338,0.0,0.0,1.5260264379633515,0.11666666666666667,0.06754435720216151,0.10984742571421884,0.029604295105227982,0.8106528302404783,0.4434006918169559,0.4735819536719649,0.663420950076466,0.0,0.0,2.1070422730995366,0.35,0.0,0.419444
250000.0,1.0,0.00024,0.00224,0.00224,0.0,0.0,0.0,32.0,5.0,155.0,150.0,0.34301090500984255,0.5275147004894424,0.8561871111641551,0.16601017214616698,0.2740394800241746,0.3369097612863124,0.11666666666666667,0.09261601662883664,0.13085144106635327,0.021397373090522417,0.20258199480516853,0.0441584193659428,0.07277851994927512,0.14358173398535523,1.0,1.0,0.278894176002688,0.11666666666666667,0.05308935784122291,0.089862661840561,0.0253507630982043,0.23295166807182408,0.19065437491258405,0.19164403384747208,0.19978303788864746,0.5714285714285714,0.8571428571428571,0.8569524771693748,0.11666666666666667,0.09625363407906104,0.18199164912474355,0.048008783400626795,0.4729951199857723,0.23771951472013828,0.23960977032413294,0.3106384799604302,0.42857142857142855,0.42857142857142855,1.1366263879335419,0.11666666666666667,0.10866168598124532,0.2126080296093671,0.0703960144066813,0.5227092154610818,0.3203112696937104,0.3771786272837576,0.44887844401778254,0.2857142857142857,0.2857142857142857,1.5135133453833856,0.13333333333333333,0.0863962924741776,0.14205597768320508,0.03811544373918675,0.5747595213061122,0.2419546066559412,0.3149882583802946,0.42950846289454087,0.375,0.375,1.1885018911962495,0.13333333333333333,0.0660805269294763,0.10863478738141964,0.026569251703171953,0.6803430064595404,0.4059016841470435,0.477983678268857,0.5750530859028636,0.0,0.0,1.9252287411676556,0.15,0.09048360394560423,0.15989866240115652,0.03845822254808778,0.6983520897453368,0.37761648737473646,0.4261362964557481,0.5335081403532982,0.0,0.0,1.8124773873685736,0.11666666666666667,0.06754435720216151,0.10984742571421884,0.029604295105227982,0.8106528302404783,0.47832064293560084,0.5505842118028197,0.6656212169058192,0.0,0.0,2.2707004059255302,0.35,0.0,0.380556
250000.0,1.0,0.00024,0.00224,0.00224,0.0,0.0,0.0,32.0,5.0,155.0,150.0,0.48398263943245773,0.7303925473797265,1.1188745477530417,0.11802393842411801,0.27693043863255623,0.3530580694588356,0.11666666666666667,0.09261601662883664,0.13085144106635327,0.021397373090522417,0.20258199480516853,0.074375203973261,0.08595227582339708,0.16408737947947527,1.0,1.0,0.2314798404093098,0.11666666666666667,0.05308935784122291,0.089862661840561,0.0253507630982043,0.23295166807182408,0.18594927092288105,0.20062113278989938,0.20374330630570317,0.7142857142857143,0.8571428571428571,0.818819627231498,0.11666666666666667,0.09625363407906104,0.18199164912474355,0.048008783400626795,0.4729951199857723,0.22624257822537244,0.25229129838561226,0.35824973261534954,0.5714285714285714,0.5714285714285714,1.0999526972151061,0.11666666666666667,0.10866168598124532,0.2126080296093671,0.0703960144066813,0.5227092154610818,0.2990288428443407,0.38991215614016705,0.461558166892417,0.2857142857142857,0.2857142857142857,1.4125808342911632,0.13333333333333333,0.0863962924741776,0.14205597768320508,0.03811544373918675,0.5747595213061122,0.22284378582211176,0.318925116871894,0.4680364900383529,0.375,0.375,1.1034235016989726,0.13333333333333333,0.0660805269294763,0.10863478738141964,0.026569251703171953,0.6803430064595404,0.38206626593027837,0.4875752517152877,0.5994111417135957,0.0,0.0,1.813580427808287,0.15,0.09048360394560423,0.15989866240115652,0.03845822254808778,0.6983520897453368,0.3714715395718778,0.4217864298540055,0.5806591480896106,0.0,0.0,1.7846946411533369,0.11666666666666667,0.06754435720216151,0.10984742571421884,0.029604295105227982,0.8106528302404783,0.45937506757772656,0.5537072575845762,0.704564301749778,0.0,0.0,2.1821485409778907,0.36666666666666664,0.0,0.375
250000.0,1.0,0.00024,0.00224,0.00224,0.0,0.0,0.0,32.0,5.0,155.0,150.0,0.6362479230457423,0.8795538412293062,1.300506395290331,0.11926869073222864,0.28820771890707575,0.3409000296215886,0.11666666666666667,0.09261601662883664,0.13085144106635327,0.021397373090522417,0.20258199480516853,0.08590078257967922,0.1111717611391293,0.18023957874930527,1.0,1.0,0.28165838593048403,0.11666666666666667,0.05308935784122291,0.089862661840561,0.0253507630982043,0.23295166807182408,0.14964278296993863,0.20573027625768966,0.23056943140620267,1.0,1.0,0.7394294591680244,0.11666666666666667,0.09625363407906104,0.18199164912474355,0.048008783400626795,0.4729951199857723,0.22167983500606273,0.32182035686279703,0.35610741826720654,0.5714285714285714,0.5714285714285714,1.0988935123263412,0.11666666666666667,0.10866168598124532,0.2126080296093671,0.0703960144066813,0.5227092154610818,0.24272015068662864,0.382084119525478,0.5046437131978813,0.42857142857142855,0.42857142857142855,1.1565242546686796,0.13333333333333333,0.0863962924741776,0.14205597768320508,0.03811544373918675,0.5747595213061122,0.24285206918107832,0.3063349718831515,0.49645896181936444,0.25,0.25,1.1869254759862926,0.13333333333333333,0.0660805269294763,0.10863478738141964,0.026569251703171953,0.6803430064595404,0.35371492043014846,0.47663217005037145,0.6384412525504098,0.0,0.0,1.6830126059720285,0.15,0.09048360394560423,0.15989866240115652,0.03845822254808778,0.6983520897453368,0.4110231852301834,0.42478910510316253,0.5930239766707518,0.0,0.0,1.9547615736758321,0.11666666666666667,0.06754435720216151,0.10984742571421884,0.029604295105227982,0.8106528302404783,0.47414359564441255,0.5410935056499181,0.7324675458465764,0.0,0.0,2.2516495380528028,0.38333333333333336,0.0,0.411111
250000.0,1.0,0.00024,0.00224,0.00224,0.0,0.0,0.0,32.0,5.0,155.0,150.0,0.6471775077428138,0.9332127057640052,1.405751953495162,0.13496405711151394,0.2702123676105148,0.39620150481793986,0.11666666666666667,0.09261601662883664,0.13085144106635327,0.021397373090522417,0.20258199480516853,0.08983524113039167,0.10345645148997948,0.20555622460383963,0.8571428571428571,1.0,0.34347798755212344,0.11666666666666667,0.05308935784122291,0.089862661840561,0.0253507630982043,0.23295166807182408,0.23480898984728513,0.2360752476159477,0.25780969280611316,0.2857142857142857,0.42857142857142855,1.0202085876671712,0.11666666666666667,0.09625363407906104,0.18199164912474355,0.048008783400626795,0.4729951199857723,0.20361233936481438,0.24694600011138534,0.34084823384367885,0.5714285714285714,0.7142857142857143,0.9616221017859367,0.11666666666666667,0.10866168598124532,0.2126080296093671,0.0703960144066813,0.5227092154610818,0.29031822878474434,0.4616398978331701,0.5043225151625521,0.2857142857142857,0.2857142857142857,1.371938872393246,0.13333333333333333,0.0863962924741776,0.14205597768320508,0.03811544373918675,0.5747595213061122,0.18021234592705138,0.37195481964374544,0.4873929355653724,0.75,0.75,0.9192386704488539,0.13333333333333333,0.0660805269294763,0.10863478738141964,0.026569251703171953,0.6803430064595404,0.3529344651686857,0.5553297802637512,0.6343923013131593,0.0,0.0,1.6763897611985352,0.15,0.09048360394560423,0.15989866240115652,0.03845822254808778,0.6983520897453368,0.33495647773290566,0.4388182980310531,0.5795655270080541,0.0,0.0,1.6166047086056143,0.11666666666666667,0.06754435720216151,0.10984742571421884,0.029604295105227982,0.8106528302404783,0.41671578255453773,0.6019499648981331,0.7230144986918396,0.0,0.0,1.9826573062659898,0.38333333333333336,0.0,0.427778
250000.0,1.0,0.00024,0.00224,0.00224,0.0,0.0,0.0,32.0,5.0,155.0,150.0,0.8273701071790581,0.9549438234666515,1.2438163093843604,0.11580286680268326,0.3233834283924889,0.3532611100616653,0.11666666666666667,0.09261601662883664,0.13085144106635327,0.021397373090522417,0.20258199480516853,0.09193762372701342,0.12174223799370378,0.19660886704974465,1.0,1.0,0.271884323033562,0.11666666666666667,0.05308935784122291,0.089862661840561,0.0253507630982043,0.23295166807182408,0.153984563040083,0.19764368519423936,0.24889701014615812,1.0,1.0,0.7246696991427309,0.11666666666666667,0.09625363407906104,0.18199164912474355,0.048008783400626795,0.4729951199857723,0.17769341729579644,0.3335708914706108,0.3580553879414321,0.7142857142857143,0.7142857142857143,0.9079845035877565,0.11666666666666667,0.10866168598124532,0.2126080296093671,0.0703960144066813,0.5227092154610818,0.22607007789683836,0.4048229217512159,0.47308950714176673,0.7142857142857143,0.7142857142857143,1.078498582276917,0.13333333333333333,0.0863962924741776,0.14205597768320508,0.03811544373918675,0.5747595213061122,0.23604387763513637,0.2937412470634848,0.475971192592053,0.25,0.375,1.1374971666149818,0.13333333333333333,0.0660805269294763,0.10863478738141964,0.026569251703171953,0.6803430064595404,0.33795259567046715,0.48326265626322323,0.6100356570007824,0.0,0.0,1.6096559612733332,0.15,0.09048360394560423,0.15989866240115652,0.03845822254808778,0.6983520897453368,0.3751974130829782,0.42592429084301286,0.584479708459849,0.0,0.0,1.7988114307410135,0.11666666666666667,0.06754435720216151,0.10984742571421884,0.029604295105227982,0.8106528302404783,0.46491168200672967,0.5242177350417948,0.7124441648687911,0.0,0.0,2.2085036364567103,0.45,0.0,0.441667
250000.0,1.0,0.00024,0.00224,0.00224,0.0,0.0,0.0,32.0,5.0,155.0,150.0,0.7148053454150458,0.8340081125131656,1.5374712734219496,0.148210993065022,0.3004827902060283,0.48296097822701994,0.11666666666666667,0.09261601662883664,0.13085144106635327,0.021397373090522417,0.20258199480516853,0.05577384319552018,0.10117328369237832,0.28133972405101,1.0,1.0,0.29284066283648585,0.11666666666666667,0.05308935784122291,0.089862661840561,0.0253507630982043,0.23295166807182408,0.18028269281156237,0.19586698152022788,0.34812597575740495,0.7142857142857143,0.8571428571428571,0.8295997663848756,0.11666666666666667,0.09625363407906104,0.18199164912474355,0.048008783400626795,0.4729951199857723,0.18036675666156532,0.23048672951780177,0.33056642098901917,0.5714285714285714,0.8571428571428571,0.8724313657462606,0.11666666666666667,0.10866168598124532,0.2126080296093671,0.0703960144066813,0.5227092154610818,0.3577760517826715,0.37129948454636574,0.4457394754652219,0.14285714285714285,0.14285714285714285,1.6924191134788253,0.13333333333333333,0.0863962924741776,0.14205597768320508,0.03811544373918675,0.5747595213061122,0.14809791331086078,0.2855919354376647,0.4396511612069292,0.75,0.75,0.7646564006367955,0.13333333333333333,0.0660805269294763,0.10863478738141964,0.026569251703171953,0.6803430064595404,0.3807691349392782,0.45155455231279223,0.5774822892050251,0.0,0.0,1.8052330870664908,0.15,0.09048360394560423,0.15989866240115652,0.03845822254808778,0.6983520897453368,0.22396726221360297,0.4026365396979032,0.5502937754680768,0.3333333333333333,0.3333333333333333,1.107578118287019,0.11666666666666667,0.06754435720216151,0.10984742571421884,0.029604295105227982,0.8106528302404783,0.36202030280561526,0.5212804473864998,0.6760987636285445,0.0,0.0,1.7258812795471665,0.48333333333333334,0.0,0.513889
250000.0,1.0,0.00024,0.00224,0.00224,0.0,0.0,0.0,32.0,5.0,155.0,150.0,0.49938407087064157,0.5147381499738499,0.9372944125603531,0.18865733365019235,0.2818630233038736,0.387569150810536,0.11666666666666667,0.09261601662883664,0.13085144106635327,0.021397373090522417,0.20258199480516853,0.04404214706341661,0.08067542088242,0.18510511347713807,1.0,1.0,0.32267367546001924,0.11666666666666667,0.05308935784122291,0.089862661840561,0.0253507630982043,0.23295166807182408,0.19414224317050083,0.2107340437865826,0.289004684720932,0.5714285714285714,0.5714285714285714,0.9306853836610488,0.11666666666666667,0.09625363407906104,0.18199164912474355,0.048008783400626795,0.4729951199857723,0.147301077997746,0.23305572684197418,0.28562315918333625,0.8571428571428571,0.8571428571428571,0.7940607947460339,0.11666666666666667,0.10866168598124532,0.2126080296093671,0.0703960144066813,0.5227092154610818,0.3740722846138122,0.3950920982268344,0.45728590802675523,0.14285714285714285,0.14285714285714285,1.7707288848467049,0.13333333333333333,0.0863962924741776,0.14205597768320508,0.03811544373918675,0.5747595213061122,0.23979615710959845,0.3074558389924173,0.4202548909525399,0.25,0.25,1.1757956080605616,0.13333333333333333,0.0660805269294763,0.10863478738141964,0.026569251703171953,0.6803430064595404,0.44831008234692454,0.4723838888011595,0.5760493259512646,0.0,0.0,2.1227038536681584,0.15,0.09048360394560423,0.15989866240115652,0.03845822254808778,0.6983520897453368,0.31080997577603786,0.4185690108387958,0.5139777290697322,0.1111111111111111,0.1111111111111111,1.5017235078434708,0.11666666666666667,0.06754435720216151,0.10984742571421884,0.029604295105227982,0.8106528302404783,0.46465053171639276,0.5429372545153005,0.6554482971143039,0.0,0.0,2.205772026250446,0.35,0.0,0.408333
250000.0,1.0,0.00024,0.00224,0.00224,0.0,0.0,0.0,32.0,5.0,155.0,150.0,0.3111631524293334,0.943266028520851,1.235788465191732,0.17225996181870004,0.37463369598849483,0.44087775924398814,0.11666666666666667,0.09261601662883664,0.13085144106635327,0.021397373090522417,0.20258199480516853,0.039442216364827885,0.1722766994899647,0.23830786096478798,1.0,1.0,0.4008857291907661,0.11666666666666667,0.05308935784122291,0.089862661840561,0.0253507630982043,0.23295166807182408,0.14641922473538446,0.28069578145624313,0.3260342084416728,0.8571428571428571,0.8571428571428571,0.7085133585315548,0.11666666666666667,0.09625363407906104,0.18199164912474355,0.048008783400626795,0.4729951199857723,0.14584532825560015,0.1509405163247554,0.3255097568847945,0.8571428571428571,0.8571428571428571,0.7355156230171606,0.11666666666666667,0.10866168598124532,0.2126080296093671,0.0703960144066813,0.5227092154610818,0.39076130800122144,0.3970308655692686,0.4051957511557554,0.0,0.0,1.8367395428756936,0.13333333333333333,0.0863962924741776,0.14205597768320508,0.03811544373918675,0.5747595213061122,0.19670760833158246,0.2508129770905629,0.4056363958658804,0.375,0.375,0.9800956348119558,0.13333333333333333,0.0660805269294763,0.10863478738141964,0.026569251703171953,0.6803430064595404,0.42055332586832106,0.45557997790114335,0.5371832559747522,0.0,0.0,1.9919808682309437,0.15,0.09048360394560423,0.15989866240115652,0.03845822254808778,0.6983520897453368,0.2584051515157955,0.32371849120752894,0.5292483565780112,0.3333333333333333,0.3333333333333333,1.2621958856561442,0.11666666666666667,0.06754435720216151,0.10984742571421884,0.029604295105227982,0.8106528302404783,0.41402521470252196,0.47698862929608193,0.6421424167867109,0.0,0.0,1.9686498965754204,0.4166666666666667,0.0,0.458333
250000.0,1.0,0.00024,0.00224,0.00224,0.0,0.0,0.0,32.0,5.0,155.0,150.0,0.143608095592369,0.9702281181284512,1.0080660010311644,0.15687588204692268,0.329924352714376,0.33407476162679517,0.11666666666666667,0.09261601662883664,0.13085144106635327,0.021397373090522417,0.20258199480516853,0.09599737239401722,0.13193480985443923,0.13206629765348332,1.0,1.0,0.3575119847298162,0.11666666666666667,0.05308935784122291,0.089862661840561,0.0253507630982043,0.23295166807182408,0.20826206955472404,0.23306851191604494,0.2423091991335855,0.5714285714285714,0.5714285714285714,0.9973113096806849,0.11666666666666667,0.09625363407906104,0.18199164912474355,0.048008783400626795,0.4729951199857723,0.195079018900359,0.22413132399832222,0.31961601168019604,0.7142857142857143,0.7142857142857143,0.989280693846992,0.11666666666666667,0.10866168598124532,0.2126080296093671,0.0703960144066813,0.5227092154610818,0.34105064344002345,0.3712381430610234,0.5046908024402916,0.14285714285714285,0.14285714285714285,1.6112389245991192,0.13333333333333333,0.0863962924741776,0.14205597768320508,0.03811544373918675,0.5747595213061122,0.25451250438049455,0.2650176054256231,0.47531410134776264,0.25,0.25,1.2422269306098117,0.13333333333333333,0.0660805269294763,0.10863478738141964,0.026569251703171953,0.6803430064595404,0.4254025658636843,0.4489620226131674,0.6293510882539302,0.0,0.0,2.0164833004692424,0.15,0.09048360394560423,0.15989866240115652,0.03845822254808778,0.6983520897453368,0.3659764531115676,0.37702450220805883,0.5609710654294143,0.0,0.0,1.7570553886431886,0.11666666666666667,0.06754435720216151,0.10984742571421884,0.029604295105227982,0.8106528302404783,0.49016182369386735,0.4981187166911526,0.7101871917771584,0.0,0.0,2.3260071764916725,0.31666666666666665,0.0,0.363889
