scenario_id,sample_id,area_width,area_height,sink_x,sink_y,n_relays,relay_0_x,relay_0_y,relay_1_x,relay_1_y,relay_2_x,relay_2_y,relay_interface,relay_frequency,relay_bandwidth,relay_bitrate,relay_power,relay_traffic,node_interface,node_frequency,node_bandwidth,node_bitrate,node_power,node_traffic,propagation,packet_length,interval,network_seed,simulated_range,fitness
2,3,512.386,551.646,336.724,421.804,3,363.891,397.084,347.983,551.646,318.401,396.165,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.227778
2,4,512.386,551.646,336.724,421.804,3,318.273,413.153,407.175,544.126,328.773,391.84,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.180556
2,5,512.386,551.646,336.724,421.804,3,278.993,309.218,461.809,551.646,412.37,465.108,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.3
2,6,512.386,551.646,336.724,421.804,3,305.426,354.557,364.371,551.646,319.443,479.189,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.233333
2,7,512.386,551.646,336.724,421.804,3,283.349,418.427,418.698,499.476,399.043,431.976,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.263889
2,8,512.386,551.646,336.724,421.804,3,376.24,338.333,342.925,517.332,464.041,445.847,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.316667
2,9,512.386,551.646,336.724,421.804,3,287.695,334.498,363.902,551.646,403.404,389.997,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.294444
3,0,538.167,561.31,325.438,446.604,3,256.15,518.866,410.169,396.356,238.795,358.139,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.351282
3,1,538.167,561.31,325.438,446.604,3,227.862,481.083,361.667,473.771,273.582,433.787,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.310256
3,2,538.167,561.31,325.438,446.604,3,335.055,561.31,414.082,405.296,234.495,326.33,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.338462
3,3,538.167,561.31,325.438,446.604,3,242.371,504.491,334.074,353.756,306.443,404.459,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.292308
3,4,538.167,561.31,325.438,446.604,3,288.668,561.31,365.678,438.158,283.57,376.858,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.289744
3,5,538.167,561.31,325.438,446.604,3,326.361,476.911,382.914,329.678,246.237,330.154,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.294872
3,6,538.167,561.31,325.438,446.604,3,203.602,464.394,330.24,435.717,278.491,317.735,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.348718
3,7,538.167,561.31,325.438,446.604,3,240.275,464.027,331.45,349.89,243.123,424.412,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.315385
3,8,538.167,561.31,325.438,446.604,3,192.14,450.83,392.628,447.66,303.835,293.379,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.415385
3,9,538.167,561.31,325.438,446.604,3,273.352,499.329,374.006,456.013,238.2,353.915,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.335897
4,0,582.149,511.277,110.806,365.587,3,176.103,14.1102,143.344,151.99,81.8949,243.727,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.444444
4,1,582.149,511.277,110.806,365.587,3,146.075,51.5038,150.601,172.628,158.626,245.911,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.5
4,2,582.149,511.277,110.806,365.587,3,133.531,16.9863,73.8658,128.463,78.5459,271.718,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.396465
4,3,582.149,511.277,110.806,365.587,3,138.153,0,174.271,135.907,70.6252,247.28,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.469697
4,4,582.149,511.277,110.806,365.587,3,141.387,61.5916,92.8404,154.478,54.7378,245.441,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.409091
4,5,582.149,511.277,110.806,365.587,3,146.312,71.5755,165.21,108.481,118.21,227.068,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.457071
4,6,582.149,511.277,110.806,365.587,3,105.614,48.3233,158.664,179.254,96.8807,260.146,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.467172
4,7,582.149,511.277,110.806,365.587,3,215.354,4.22017,146.389,132.173,134.704,262.631,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.484848
4,8,582.149,511.277,110.806,365.587,3,108.161,82.9776,147.157,195.589,44.1584,302.781,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.464646
4,9,582.149,511.277,110.806,365.587,3,101.539,0,136.094,77.3598,146.398,223.89,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.479798
5,0,509.258,526.9,501.624,145.423,3,358.183,242.752,354.673,318.022,381.213,106.92,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.360215
5,1,509.258,526.9,501.624,145.423,3,394.426,178.419,303.832,301.304,372.152,38.4754,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.30914
5,2,509.258,526.9,501.624,145.423,3,289.617,268.695,305.085,244.255,408.887,133.882,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.33871
5,3,509.258,526.9,501.624,145.423,3,369.246,240.812,421.308,251.278,442.36,113.709,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.311828
5,4,509.258,526.9,501.624,145.423,3,414.157,240.579,425.032,362.687,356.838,159.926,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.314516
