relays,power,relay_power,node_power,n,mean_pso_400,mean_naive_400,mean_delta,median_delta,sd_delta,ci95_low,ci95_high,wins,ties,losses,naive_failures,naive_no_solution,pso_extra_20_improvements,mean_extra_20_gain
2,HH,0.00224,0.00224,12,0.4675926666666667,0.45069441666666665,0.016898249999999993,0.019444000000000017,0.014956889826947805,0.007395095587609007,0.02640140441239098,10,0,2,0,0,1,0.0002314999999999956
2,HM,0.00224,0.001,12,0.3581016666666667,0.33518525000000005,0.022916416666666675,0.02222200000000002,0.016159024455580866,0.012649462351183569,0.03318337098214978,11,0,1,0,0,1,0.00023150000000000023
3,HH,0.00224,0.00224,12,0.6173611666666666,0.5784723333333333,0.03888883333333332,0.03472249999999999,0.02336103814953956,0.02404593782915921,0.053731728837507424,12,0,0,0,0,2,0.0009259166666666744
3,HM,0.00224,0.001,12,0.4743055833333332,0.43263875,0.04166683333333334,0.04444500000000001,0.022000214266862918,0.02768856407397156,0.05564510259269512,11,0,1,0,0,0,0.0
4,HH,0.00224,0.00224,12,0.7104167500000002,0.6870370833333334,0.02337966666666666,0.024999999999999967,0.028756856078423293,0.005108432012267374,0.04165090132106594,10,0,2,0,0,1,0.0006944166666666696
4,HM,0.00224,0.001,12,0.5451389166666667,0.5215278333333333,0.02361108333333332,0.024999999999999967,0.0319692591390779,0.0032987851507909095,0.04392338151587573,8,2,2,0,0,1,0.0018518333333333303
6,HH,0.00224,0.00224,12,0.80347225,0.7877315833333333,0.015740666666666653,0.013888999999999985,0.018552181191700823,0.0039531731040851024,0.027528160229248203,10,0,2,0,0,2,0.002314749999999995
6,HM,0.00224,0.001,12,0.6581019166666667,0.6469906666666667,0.011111249999999998,0.0013889999999999736,0.027777854548100993,-0.006537956758208086,0.028760456758208083,6,1,5,0,0,1,0.0006944166666666696
