,mean_pso_400,mean_pso_400,mean_naive_400,mean_naive_400
power,HH,HM,HH,HM
relays,,,,
2,0.4675926666666667,0.3581016666666667,0.45069441666666665,0.33518525000000005
3,0.6173611666666666,0.4743055833333332,0.5784723333333333,0.43263875
4,0.7104167500000002,0.5451389166666667,0.6870370833333334,0.5215278333333333
6,0.80347225,0.6581019166666667,0.7877315833333333,0.6469906666666667
