scenario_id,sample_id,area_width,area_height,sink_x,sink_y,n_relays,relay_0_x,relay_0_y,relay_1_x,relay_1_y,relay_2_x,relay_2_y,relay_3_x,relay_3_y,relay_interface,relay_frequency,relay_bandwidth,relay_bitrate,relay_power,relay_traffic,node_interface,node_frequency,node_bandwidth,node_bitrate,node_power,node_traffic,propagation,packet_length,interval,network_seed,simulated_range,fitness
0,0,350,350,0,0,4,194.141,224.838,39.5595,84.8957,322.048,269.963,92.4366,130.186,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.854167
0,1,350,350,0,0,4,192.672,219.957,100.793,83.0413,308.378,217.821,88.4829,175.569,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.9125
0,2,350,350,0,0,4,174.337,223.402,116.622,44.0399,301.939,197.269,62.0474,183.229,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.879167
0,3,350,350,0,0,4,160.505,231.089,75.4232,67.1145,278.381,262.741,167.97,183.597,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.879167
0,4,350,350,0,0,4,272.723,206.134,88.6266,78.6568,350,276.222,154.399,191.003,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.870833
0,5,350,350,0,0,4,169.878,158.957,55.9162,119.196,267.203,244.705,128.797,156.317,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.841667
0,6,350,350,0,0,4,126.231,277.452,86.0335,87.2946,243.597,211.78,126.355,144.723,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.920833
0,7,350,350,0,0,4,154.401,170.099,85.4571,160.578,251.973,205.964,63.3003,134.338,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.845833
0,8,350,350,0,0,4,257.851,163.867,54.8529,61.6671,247.451,203.224,134.97,184.97,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.925
0,9,350,350,0,0,4,210.415,240.069,77.4772,121.021,286.715,317.524,157.147,174.891,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.845833
0,10,350,350,0,0,4,235.079,199.705,56.1434,104.319,289.826,263.709,122.004,173.971,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.841667
0,11,350,350,0,0,4,150.486,187.549,103.089,95.2361,262.177,222.765,162.332,109.883,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.904167
0,12,350,350,0,0,4,196.88,248.276,34.9526,110.208,242.162,192.328,140.874,148.378,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.875
0,13,350,350,0,0,4,239.179,235.991,75.8557,78.0396,350,308.928,151.043,198.584,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8875
0,14,350,350,0,0,4,116.323,221.705,106.304,32.0853,248.323,258.787,81.4371,135.177,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.941667
0,15,350,350,0,0,4,126.128,233.368,51.8246,55.4031,249.163,271.933,22.6487,185.876,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.908333
0,16,350,350,0,0,4,206.163,217.968,74.4586,78.9837,291.217,291.702,89.657,206.599,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.916667
0,17,350,350,0,0,4,174.886,224.29,0,81.9684,318.029,259.705,61.8219,203.296,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.895833
0,18,350,350,0,0,4,220.701,270.858,42.0548,63.4792,301.442,233.705,99.9507,186.848,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8625
0,19,350,350,0,0,4,242.747,149.491,0,53.1134,339.269,258.094,118.526,73.0756,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.795833
1,0,350,350,0,0,4,275.329,237.264,55.1603,70.5482,174.729,147.528,233.639,291.97,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.766667
1,1,350,350,0,0,4,292.219,188.595,113.565,80.6802,210.036,137.242,271.931,269.417,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.829167
1,2,350,350,0,0,4,197.249,167.755,91.2703,67.4737,205.553,88.0769,294.96,231.755,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.833333
1,3,350,350,0,0,4,252.408,186.658,28.6043,139.218,133.803,117.41,245.974,236.522,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.825
