pair,seed,relays,width,height,pso_total_evaluations,naive_total_evaluations,common_budget,pso_final_fitness,naive_final_fitness,pso_best_common_budget,naive_best_common_budget,delta_common_budget,pso_final_best_first_eval,naive_final_best_first_eval,pso_final_time,naive_final_time
1,525339,2,500.0,500.0,420,400,400,0.444444,0.425,0.444444,0.425,0.019444000000000017,130,169,590.237,475.579
2,864365,2,500.0,500.0,420,400,400,0.386111,0.397222,0.386111,0.397222,-0.011111000000000038,235,149,547.943,471.045
3,67358,2,500.0,500.0,420,400,400,0.497222,0.477778,0.497222,0.477778,0.019444000000000017,169,344,602.611,484.109
4,747263,2,500.0,500.0,420,400,400,0.461111,0.463889,0.461111,0.463889,-0.0027780000000000027,135,134,563.954,471.146
5,677807,2,500.0,500.0,420,400,400,0.516667,0.475,0.516667,0.475,0.04166700000000001,165,169,575.783,488.147
6,806219,2,500.0,500.0,420,400,400,0.430556,0.416667,0.430556,0.416667,0.013888999999999985,314,193,525.44,485.245
7,76126870,2,500.0,500.0,420,400,400,0.477778,0.452778,0.477778,0.452778,0.024999999999999967,60,228,557.423,468.492
8,74509218,2,500.0,500.0,420,400,400,0.463889,0.458333,0.463889,0.458333,0.005556000000000005,351,51,558.52,489.197
9,1664576,2,500.0,500.0,420,400,400,0.466667,0.444444,0.466667,0.444444,0.022222999999999993,195,9,584.964,482.912
10,40063030,2,500.0,500.0,420,400,400,0.480556,0.458333,0.480556,0.458333,0.022222999999999993,296,283,579.916,487.077
11,38032146,2,500.0,500.0,420,400,400,0.486111,0.45,0.486111,0.45,0.036111000000000004,296,250,579.536,457.577
12,74485470,2,500.0,500.0,420,400,400,0.502778,0.488889,0.5,0.488889,0.011110999999999982,410,109,585.682,505.052
13,525339,2,500.0,500.0,420,400,400,0.333333,0.3,0.333333,0.3,0.033333,270,300,529.012,464.551
14,864365,2,500.0,500.0,420,400,400,0.3,0.291667,0.3,0.291667,0.00833299999999998,105,196,523.494,449.955
15,67358,2,500.0,500.0,420,400,400,0.336111,0.344444,0.336111,0.344444,-0.00833299999999998,342,203,544.788,469.941
16,747263,2,500.0,500.0,420,400,400,0.397222,0.372222,0.397222,0.372222,0.025000000000000022,309,73,549.831,460.488
17,677807,2,500.0,500.0,420,400,400,0.361111,0.352778,0.361111,0.352778,0.008333000000000035,88,119,538.621,477.013
18,806219,2,500.0,500.0,420,400,400,0.352778,0.305556,0.352778,0.305556,0.047221999999999986,293,161,530.472,474.446
19,76126870,2,500.0,500.0,420,400,400,0.361111,0.316667,0.361111,0.316667,0.04444400000000004,299,211,534.103,459.834
20,74509218,2,500.0,500.0,420,400,400,0.397222,0.361111,0.397222,0.361111,0.036111000000000004,370,260,557.367,469.091
21,1664576,2,500.0,500.0,420,400,400,0.358333,0.344444,0.358333,0.344444,0.01388900000000004,151,322,546.124,468.338
22,40063030,2,500.0,500.0,420,400,400,0.383333,0.363889,0.383333,0.363889,0.01944399999999996,101,17,548.417,471.27
23,38032146,2,500.0,500.0,420,400,400,0.333333,0.313889,0.333333,0.313889,0.019444000000000017,371,15,535.94,445.895
24,74485470,2,500.0,500.0,420,400,400,0.386111,0.355556,0.383333,0.355556,0.027776999999999996,416,123,559.098,481.429
25,525339,3,500.0,500.0,420,400,400,0.575,0.547222,0.575,0.547222,0.02777799999999997,334,135,627.113,547.307
26,864365,3,500.0,500.0,420,400,400,0.577778,0.541667,0.577778,0.541667,0.036111000000000004,284,51,646.762,551.357
27,67358,3,500.0,500.0,420,400,400,0.616667,0.583333,0.616667,0.583333,0.033333999999999975,264,315,656.502,556.402
28,747263,3,500.0,500.0,420,400,400,0.6,0.555556,0.6,0.555556,0.04444399999999993,305,210,644.186,546.536
29,677807,3,500.0,500.0,420,400,400,0.638889,0.608333,0.636111,0.608333,0.02777799999999997,418,42,642.21,568.722
30,806219,3,500.0,500.0,420,400,400,0.588889,0.577778,0.588889,0.577778,0.011110999999999982,269,19,658.854,546.87
31,76126870,3,500.0,500.0,420,400,400,0.647222,0.591667,0.647222,0.591667,0.05555499999999991,345,179,682.3,537.895
32,74509218,3,500.0,500.0,420,400,400,0.680556,0.586111,0.680556,0.586111,0.094445,346,393,656.645,546.872
33,1664576,3,500.0,500.0,420,400,400,0.633333,0.575,0.625,0.575,0.050000000000000044,401,278,654.092,537.412
34,40063030,3,500.0,500.0,420,400,400,0.636111,0.580556,0.636111,0.580556,0.05555500000000002,307,379,642.636,544.745
35,38032146,3,500.0,500.0,420,400,400,0.6,0.580556,0.6,0.580556,0.019444000000000017,358,234,617.838,526.642
36,74485470,3,500.0,500.0,420,400,400,0.625,0.613889,0.625,0.613889,0.011110999999999982,269,260,675.207,548.936
37,525339,3,500.0,500.0,420,400,400,0.419444,0.386111,0.419444,0.386111,0.033333,269,28,583.003,519.798
38,864365,3,500.0,500.0,420,400,400,0.447222,0.433333,0.447222,0.433333,0.013888999999999985,210,146,576.792,512.897
39,67358,3,500.0,500.0,420,400,400,0.502778,0.425,0.502778,0.425,0.07777799999999996,341,210,607.668,521.966
40,747263,3,500.0,500.0,420,400,400,0.458333,0.419444,0.458333,0.419444,0.03888900000000001,358,389,587.653,513.367
41,677807,3,500.0,500.0,420,400,400,0.463889,0.466667,0.463889,0.466667,-0.0027780000000000027,123,270,581.898,524.572
