seed,relays,width,height,network_config,pso_400,pso_final,pso_extra_20_gain,naive_400,delta,pso_file,naive_file,area
1555680,6,400.0,400.0,1,0.956667,0.956667,0.0,0.96,-0.0033329999999999194,2026-09-18_12-11-20.log,2026-09-18_12-23-52.log,400
1555680,6,500.0,500.0,1,0.816667,0.816667,0.0,0.758333,0.058334,2026-09-18_12-35-14.log,2026-09-18_12-49-10.log,500
1555680,6,600.0,600.0,1,0.590476,0.590476,0.0,0.583333,0.0071430000000000105,2026-09-18_13-02-39.log,2026-09-18_13-17-50.log,600
1555680,6,700.0,700.0,1,0.497917,0.497917,0.0,0.48125,0.016666999999999987,2026-09-18_13-32-43.log,2026-09-18_13-49-34.log,700
60466,6,350.0,350.0,1,1.0,1.0,0.0,0.995833,0.004167000000000032,2026-09-18_14-05-42.log,2026-09-18_14-14-31.log,350
60466,6,400.0,400.0,1,0.953333,0.956667,0.003334000000000059,0.943333,0.010000000000000009,2026-09-18_14-23-00.log,2026-09-18_14-35-10.log,400
60466,6,500.0,500.0,1,0.794444,0.794444,0.0,0.813889,-0.019444999999999935,2026-09-18_14-46-38.log,2026-09-18_15-00-05.log,500
60466,6,600.0,600.0,1,0.571429,0.57381,0.0023810000000000775,0.602381,-0.03095200000000009,2026-09-18_15-13-26.log,2026-09-18_15-27-35.log,600
60466,6,700.0,700.0,1,0.5125,0.5125,0.0,0.4875,0.024999999999999967,2026-09-18_15-42-20.log,2026-09-18_15-58-54.log,700
37283284,7,350.0,350.0,1,0.9875,0.9875,0.0,0.991667,-0.004166999999999921,2026-09-18_16-14-43.log,2026-09-18_16-24-07.log,350
37283284,7,400.0,400.0,1,0.966667,0.966667,0.0,0.966667,0.0,2026-09-18_16-33-03.log,2026-09-18_16-45-27.log,400
37283284,7,500.0,500.0,1,0.827778,0.827778,0.0,0.822222,0.005556000000000005,2026-09-18_16-57-50.log,2026-09-18_17-12-23.log,500
37283284,7,600.0,600.0,1,0.666667,0.666667,0.0,0.62619,0.040476999999999985,2026-09-18_17-27-19.log,2026-09-18_17-42-51.log,600
37283284,7,700.0,700.0,1,0.529167,0.529167,0.0,0.54375,-0.014582999999999902,2026-09-18_17-59-20.log,2026-09-18_18-16-34.log,700
1555680,7,350.0,350.0,1,1.0,1.0,0.0,0.991667,0.008333000000000035,2026-09-18_18-34-02.log,2026-09-18_18-43-26.log,350
1555680,7,400.0,400.0,1,0.963333,0.963333,0.0,0.966667,-0.003334000000000059,2026-09-18_18-52-21.log,2026-09-18_19-05-09.log,400
1555680,7,500.0,500.0,1,0.8,0.8,0.0,0.8,0.0,2026-09-18_19-17-23.log,2026-09-18_19-32-54.log,500
1555680,7,600.0,600.0,1,0.604762,0.604762,0.0,0.62381,-0.019047999999999954,2026-09-18_19-49-39.log,2026-09-18_20-05-22.log,600
1555680,7,700.0,700.0,1,0.477083,0.485417,0.008334000000000008,0.525,-0.04791700000000004,2026-09-18_20-21-52.log,2026-09-18_20-38-51.log,700
60466,7,350.0,350.0,1,0.995833,1.0,0.004167000000000032,1.0,-0.004167000000000032,2026-09-18_20-56-32.log,2026-09-18_21-05-43.log,350
60466,7,400.0,400.0,1,0.976667,0.976667,0.0,0.953333,0.023333999999999966,2026-09-18_21-14-29.log,2026-09-18_21-26-43.log,400
60466,7,500.0,500.0,1,0.797222,0.797222,0.0,0.797222,0.0,2026-09-18_21-38-49.log,2026-09-18_21-53-24.log,500
60466,7,600.0,600.0,1,0.628571,0.628571,0.0,0.645238,-0.016666999999999987,2026-09-18_22-08-04.log,2026-09-18_22-23-51.log,600
60466,7,700.0,700.0,1,0.554167,0.554167,0.0,0.545833,0.008333999999999953,2026-09-18_22-39-59.log,2026-09-18_22-56-52.log,700
37283284,8,350.0,350.0,1,1.0,1.0,0.0,0.991667,0.008333000000000035,2026-09-18_23-14-16.log,2026-09-18_23-23-50.log,350
37283284,8,400.0,400.0,1,0.996667,0.996667,0.0,0.98,0.016666999999999987,2026-09-18_23-32-58.log,2026-09-18_23-46-38.log,400
37283284,8,500.0,500.0,1,0.858333,0.858333,0.0,0.863889,-0.005556000000000005,2026-09-18_23-59-28.log,2026-09-19_00-15-21.log,500
37283284,8,600.0,600.0,1,0.654762,0.654762,0.0,0.661905,-0.0071430000000000105,2026-09-19_00-31-07.log,2026-09-19_00-47-25.log,600
37283284,8,700.0,700.0,1,0.6,0.6,0.0,0.614583,-0.014583000000000013,2026-09-19_01-05-26.log,2026-09-19_01-23-31.log,700
1555680,8,350.0,350.0,1,1.0,1.0,0.0,0.995833,0.004167000000000032,2026-09-19_01-42-44.log,2026-09-19_01-52-19.log,350
1555680,8,400.0,400.0,1,0.983333,0.983333,0.0,0.983333,0.0,2026-09-19_02-01-29.log,2026-09-19_02-14-20.log,400
1555680,8,500.0,500.0,1,0.838889,0.838889,0.0,0.852778,-0.01388900000000004,2026-09-19_02-26-51.log,2026-09-19_02-42-47.log,500
1555680,8,600.0,600.0,1,0.711905,0.711905,0.0,0.640476,0.07142899999999996,2026-09-19_02-58-34.log,2026-09-19_03-14-15.log,600
1555680,8,700.0,700.0,1,0.570833,0.570833,0.0,0.602083,-0.03125,2026-09-19_03-32-06.log,2026-09-19_03-49-55.log,700
60466,8,350.0,350.0,1,1.0,1.0,0.0,0.995833,0.004167000000000032,2026-09-19_04-09-19.log,2026-09-19_04-18-38.log,350
60466,8,400.0,400.0,1,0.98,0.98,0.0,0.98,0.0,2026-09-19_04-27-39.log,2026-09-19_04-40-11.log,400
