pair,seed,relays,width,height,pso_total_evaluations,naive_total_evaluations,common_budget,pso_final_fitness,naive_final_fitness,pso_best_common_budget,naive_best_common_budget,delta_common_budget,pso_final_best_first_eval,naive_final_best_first_eval,pso_final_time,naive_final_time
1,37283284,2,500.0,500.0,420,400,400,0.475,0.444444,0.475,0.444444,0.030555999999999972,306,228,561.007,456.44
2,37283284,2,500.0,500.0,420,400,400,0.316667,0.286111,0.316667,0.286111,0.030555999999999972,245,158,514.558,443.165
3,37283284,2,500.0,500.0,420,400,400,0.216667,0.197222,0.216667,0.197222,0.01944499999999999,290,286,503.545,432.98
4,37283284,2,500.0,500.0,420,400,400,0.283333,0.277778,0.283333,0.277778,0.005554999999999977,311,48,457.501,406.749
5,37283284,2,500.0,500.0,420,400,400,0.238889,0.233333,0.238889,0.233333,0.005555999999999978,269,229,447.756,401.208
6,37283284,2,500.0,500.0,420,400,400,0.15,0.158333,0.15,0.158333,-0.008333000000000007,79,376,421.67,394.467
7,37283284,2,500.0,500.0,420,400,400,0.133333,0.133333,0.133333,0.133333,0.0,203,97,425.769,402.963
8,37283284,2,500.0,500.0,420,400,400,0.133333,0.133333,0.133333,0.133333,0.0,203,71,420.54,402.662
9,37283284,2,500.0,500.0,420,400,400,0.133333,0.122222,0.133333,0.122222,0.01111100000000001,201,97,419.987,379.912
10,1555680,2,500.0,500.0,420,400,400,0.419444,0.405556,0.419444,0.405556,0.013887999999999956,260,129,563.305,460.454
11,1555680,2,500.0,500.0,420,400,400,0.316667,0.294444,0.316667,0.294444,0.022222999999999993,166,125,523.268,440.513
12,1555680,2,500.0,500.0,420,400,400,0.186111,0.186111,0.186111,0.186111,0.0,387,37,492.657,431.077
13,1555680,2,500.0,500.0,420,400,400,0.266667,0.266667,0.266667,0.266667,0.0,69,47,461.608,398.334
14,1555680,2,500.0,500.0,420,400,400,0.241667,0.233333,0.241667,0.233333,0.00833399999999998,336,47,442.75,386.329
15,1555680,2,500.0,500.0,420,400,400,0.147222,0.15,0.147222,0.15,-0.0027780000000000027,179,214,428.609,378.687
16,1555680,2,500.0,500.0,420,400,400,0.1,0.1,0.1,0.1,0.0,119,172,396.071,373.005
17,1555680,2,500.0,500.0,420,400,400,0.1,0.0972222,0.1,0.0972222,0.002777800000000011,119,172,388.313,371.66
18,1555680,2,500.0,500.0,420,400,400,0.0972222,0.0833333,0.0972222,0.0833333,0.013888899999999996,299,28,388.214,364.639
19,60466,2,500.0,500.0,420,400,400,0.508333,0.505556,0.505556,0.505556,0.0,401,145,522.712,463.655
20,60466,2,500.0,500.0,420,400,400,0.427778,0.372222,0.416667,0.372222,0.04444500000000001,411,145,542.137,453.024
21,60466,2,500.0,500.0,420,400,400,0.194444,0.147222,0.188889,0.147222,0.04166700000000001,407,277,494.711,440.929
22,60466,2,500.0,500.0,420,400,400,0.361111,0.316667,0.361111,0.316667,0.04444400000000004,381,285,477.202,423.037
23,60466,2,500.0,500.0,420,400,400,0.258333,0.261111,0.258333,0.261111,-0.0027780000000000027,368,285,466.09,414.209
24,60466,2,500.0,500.0,420,400,400,0.191667,0.172222,0.191667,0.172222,0.019445000000000018,338,195,454.439,409.77
25,60466,2,500.0,500.0,420,400,400,0.2,0.163889,0.2,0.163889,0.036111000000000004,84,106,434.704,385.918
26,60466,2,500.0,500.0,420,400,400,0.2,0.166667,0.2,0.166667,0.033333,254,254,432.576,385.436
27,60466,2,500.0,500.0,420,400,400,0.152778,0.138889,0.152778,0.138889,0.013888999999999985,248,83,418.012,375.92
28,37283284,3,500.0,500.0,420,400,400,0.616667,0.575,0.616667,0.575,0.04166700000000001,220,237,630.84,527.155
29,37283284,3,500.0,500.0,420,400,400,0.436111,0.416667,0.436111,0.416667,0.019444000000000017,281,167,550.637,500.814
30,37283284,3,500.0,500.0,420,400,400,0.280556,0.275,0.275,0.275,0.0,402,369,535.894,471.616
31,37283284,3,500.0,500.0,420,400,400,0.477778,0.4,0.477778,0.4,0.07777799999999996,375,89,554.804,447.009
32,37283284,3,500.0,500.0,420,400,400,0.372222,0.330556,0.372222,0.330556,0.04166599999999998,240,257,510.824,432.779
33,37283284,3,500.0,500.0,420,400,400,0.291667,0.225,0.291667,0.225,0.066667,395,358,476.141,413.531
34,37283284,3,500.0,500.0,420,400,400,0.216667,0.175,0.216667,0.175,0.04166700000000001,182,234,427.994,394.354
35,37283284,3,500.0,500.0,420,400,400,0.2,0.172222,0.2,0.172222,0.027778000000000025,261,234,424.404,388.375
36,37283284,3,500.0,500.0,420,400,400,0.15,0.15,0.15,0.15,0.0,14,14,414.125,383.828
37,1555680,3,500.0,500.0,420,400,400,0.594444,0.558333,0.594444,0.558333,0.036111000000000004,188,83,657.932,540.945
38,1555680,3,500.0,500.0,420,400,400,0.427778,0.408333,0.427778,0.408333,0.01944499999999999,238,77,610.948,514.731
39,1555680,3,500.0,500.0,420,400,400,0.286111,0.277778,0.286111,0.277778,0.00833299999999998,329,156,535.157,477.213
40,1555680,3,500.0,500.0,420,400,400,0.408333,0.413889,0.408333,0.413889,-0.005556000000000005,371,209,523.332,441.783
41,1555680,3,500.0,500.0,420,400,400,0.372222,0.352778,0.372222,0.352778,0.019444000000000017,375,69,520.843,429.604
42,1555680,3,500.0,500.0,420,400,400,0.25,0.255556,0.25,0.255556,-0.005556000000000005,276,324,485.154,407.202
