seed,relays,area,network_config,relay_power,node_power,Naive,PSO,delta,Naive_failed,PSO_failed
37283284,2,500,6,0.001,0.000316,0.158333,0.15,-0.008333000000000007,False,False
37283284,2,500,7,0.000316,0.00224,0.133333,0.133333,0.0,False,False
37283284,2,500,8,0.000316,0.001,0.133333,0.133333,0.0,False,False
37283284,2,500,9,0.000316,0.000316,0.122222,0.133333,0.01111100000000001,False,False
37283284,3,500,1,0.00224,0.00224,0.575,0.616667,0.04166700000000001,False,False
37283284,3,500,2,0.00224,0.001,0.416667,0.436111,0.019444000000000017,False,False
37283284,3,500,3,0.00224,0.000316,0.275,0.280556,0.005556000000000005,False,False
37283284,3,500,4,0.001,0.00224,0.4,0.477778,0.07777799999999996,False,False
37283284,3,500,5,0.001,0.001,0.330556,0.372222,0.04166599999999998,False,False
37283284,3,500,6,0.001,0.000316,0.225,0.291667,0.066667,False,False
37283284,3,500,7,0.000316,0.00224,0.175,0.216667,0.04166700000000001,False,False
37283284,3,500,8,0.000316,0.001,0.172222,0.2,0.027778000000000025,False,False
37283284,3,500,9,0.000316,0.000316,0.15,0.15,0.0,False,False
37283284,4,500,1,0.00224,0.00224,0.669444,0.736111,0.06666699999999992,False,False
37283284,4,500,2,0.00224,0.001,0.494444,0.516667,0.022222999999999993,False,False
37283284,4,500,3,0.00224,0.000316,0.336111,0.347222,0.011110999999999982,False,False
37283284,4,500,4,0.001,0.00224,0.530556,0.563889,0.033332999999999946,False,False
37283284,4,500,5,0.001,0.001,0.433333,0.497222,0.06388899999999997,False,False
37283284,4,500,6,0.001,0.000316,0.277778,0.297222,0.01944399999999996,False,False
37283284,4,500,7,0.000316,0.00224,0.0,0.258333,0.258333,True,False
37283284,4,500,8,0.000316,0.001,0.0,0.255556,0.255556,True,False
37283284,4,500,9,0.000316,0.000316,0.0,0.216667,0.216667,True,False
37283284,6,500,1,0.00224,0.00224,0.825,0.780556,-0.04444399999999993,False,False
37283284,6,500,2,0.00224,0.001,0.686111,0.7,0.01388899999999993,False,False
37283284,6,500,3,0.00224,0.000316,0.425,0.377778,-0.047221999999999986,False,False
37283284,6,500,4,0.001,0.00224,0.622222,0.633333,0.011110999999999982,False,False
37283284,6,500,5,0.001,0.001,0.566667,0.6,0.033332999999999946,False,False
37283284,6,500,6,0.001,0.000316,0.436111,0.355556,-0.08055500000000004,False,False
37283284,6,500,7,0.000316,0.00224,0.0,0.391667,0.391667,True,False
37283284,6,500,8,0.000316,0.001,0.0,0.380556,0.380556,True,False
37283284,6,500,9,0.000316,0.000316,0.0,0.333333,0.333333,True,False
