seed,relays,width,height,network_config,pso_400,pso_final,pso_extra_20_gain,naive_400,delta,pso_file,naive_file,relay_power,node_power
1555680,3,500.0,500.0,3,0.286111,0.286111,0.0,0.277778,0.00833299999999998,2026-09-21_06-34-31.log,2026-09-21_06-43-38.log,0.00224,0.000316
1555680,3,500.0,500.0,4,0.408333,0.408333,0.0,0.413889,-0.005556000000000005,2026-09-21_06-51-45.log,2026-09-21_07-00-37.log,0.001,0.00224
1555680,3,500.0,500.0,5,0.372222,0.372222,0.0,0.352778,0.019444000000000017,2026-09-21_07-08-10.log,2026-09-21_07-16-59.log,0.001,0.001
1555680,3,500.0,500.0,6,0.25,0.25,0.0,0.255556,-0.005556000000000005,2026-09-21_07-24-19.log,2026-09-21_07-32-33.log,0.001,0.000316
1555680,3,500.0,500.0,7,0.166667,0.166667,0.0,0.183333,-0.016665999999999986,2026-09-21_07-39-28.log,2026-09-21_07-46-41.log,0.000316,0.00224
1555680,3,500.0,500.0,8,0.166667,0.166667,0.0,0.183333,-0.016665999999999986,2026-09-21_07-53-13.log,2026-09-21_08-00-21.log,0.000316,0.001
1555680,3,500.0,500.0,9,0.15,0.15,0.0,0.147222,0.0027780000000000027,2026-09-21_08-06-48.log,2026-09-21_08-13-50.log,0.000316,0.000316
60466,3,500.0,500.0,1,0.65,0.65,0.0,0.597222,0.05277799999999999,2026-09-21_08-20-13.log,2026-09-21_08-30-47.log,0.00224,0.00224
60466,3,500.0,500.0,2,0.494444,0.494444,0.0,0.480556,0.013888000000000011,2026-09-21_08-40-02.log,2026-09-21_08-50-17.log,0.00224,0.001
60466,3,500.0,500.0,3,0.244444,0.252778,0.008334000000000008,0.236111,0.008333000000000007,2026-09-21_08-59-05.log,2026-09-21_09-08-04.log,0.00224,0.000316
60466,3,500.0,500.0,4,0.513889,0.513889,0.0,0.463889,0.050000000000000044,2026-09-21_09-16-23.log,2026-09-21_09-26-29.log,0.001,0.00224
60466,3,500.0,500.0,5,0.45,0.45,0.0,0.408333,0.04166700000000001,2026-09-21_09-34-32.log,2026-09-21_09-44-18.log,0.001,0.001
60466,3,500.0,500.0,6,0.252778,0.252778,0.0,0.236111,0.016667000000000015,2026-09-21_09-52-17.log,2026-09-21_10-00-20.log,0.001,0.000316
60466,3,500.0,500.0,7,0.255556,0.261111,0.005554999999999977,0.222222,0.033334,2026-09-21_10-07-52.log,2026-09-21_10-15-37.log,0.000316,0.00224
60466,3,500.0,500.0,8,0.266667,0.266667,0.0,0.216667,0.04999999999999999,2026-09-21_10-22-41.log,2026-09-21_10-30-28.log,0.000316,0.001
60466,3,500.0,500.0,9,0.191667,0.191667,0.0,0.2,-0.008333000000000007,2026-09-21_10-37-31.log,2026-09-21_10-44-55.log,0.000316,0.000316
37283284,4,500.0,500.0,1,0.713889,0.736111,0.022221999999999964,0.669444,0.04444499999999996,2026-09-21_10-51-57.log,2026-09-21_11-04-03.log,0.00224,0.00224
37283284,4,500.0,500.0,2,0.516667,0.516667,0.0,0.494444,0.022222999999999993,2026-09-21_11-14-51.log,2026-09-21_11-25-26.log,0.00224,0.001
37283284,4,500.0,500.0,3,0.347222,0.347222,0.0,0.336111,0.011110999999999982,2026-09-21_11-35-13.log,2026-09-21_11-44-55.log,0.00224,0.000316
37283284,4,500.0,500.0,4,0.563889,0.563889,0.0,0.530556,0.033332999999999946,2026-09-21_11-53-51.log,2026-09-21_12-04-11.log,0.001,0.00224
37283284,4,500.0,500.0,5,0.497222,0.497222,0.0,0.433333,0.06388899999999997,2026-09-21_12-12-47.log,2026-09-21_12-22-30.log,0.001,0.001
37283284,4,500.0,500.0,6,0.297222,0.297222,0.0,0.277778,0.01944399999999996,2026-09-21_12-30-43.log,2026-09-21_12-39-12.log,0.001,0.000316
37283284,4,500.0,500.0,7,0.258333,0.258333,0.0,0.241667,0.016665999999999986,2026-09-21_12-46-51.log,2026-09-21_20-09-29.log,0.000316,0.00224
37283284,4,500.0,500.0,8,0.255556,0.255556,0.0,0.238889,0.016667000000000015,2026-09-21_20-17-13.log,2026-09-21_20-24-45.log,0.000316,0.001
37283284,4,500.0,500.0,9,0.216667,0.216667,0.0,0.208333,0.008334000000000008,2026-09-21_20-29-07.log,2026-09-21_20-36-33.log,0.000316,0.000316
1555680,4,500.0,500.0,1,0.727778,0.727778,0.0,0.658333,0.06944500000000009,2026-09-21_20-40-50.log,2026-09-21_20-53-31.log,0.00224,0.00224
1555680,4,500.0,500.0,2,0.472222,0.472222,0.0,0.536111,-0.06388900000000003,2026-09-21_21-04-23.log,2026-09-21_21-14-48.log,0.00224,0.001
1555680,4,500.0,500.0,3,0.355556,0.355556,0.0,0.322222,0.033333999999999975,2026-09-21_21-24-59.log,2026-09-21_21-34-33.log,0.00224,0.000316
1555680,4,500.0,500.0,4,0.544444,0.544444,0.0,0.488889,0.05555500000000002,2026-09-21_21-43-42.log,2026-09-21_21-54-22.log,0.001,0.00224
1555680,4,500.0,500.0,5,0.463889,0.463889,0.0,0.455556,0.00833299999999998,2026-09-21_22-03-13.log,2026-09-21_22-12-50.log,0.001,0.001
1555680,4,500.0,500.0,6,0.361111,0.361111,0.0,0.286111,0.07500000000000001,2026-09-21_22-21-13.log,2026-09-21_22-29-57.log,0.001,0.000316
1555680,4,500.0,500.0,7,0.25,0.25,0.0,0.183333,0.066667,2026-09-21_22-37-42.log,2026-09-21_22-45-11.log,0.000316,0.00224
